experimentRun,subRun,evaluate_original,start_block_height,end_block_height,kafka_partitions,batching,match_on_previous_add,heap_size,bypass_kafka,check_correctness,endTimePart1,endTimePart2,totalExecutionTime,timeOutReached
9,1,True,591116,591126,1,0,True,16,False,False,1157.5739433765411,1156.9464552402496,1157.5931708812714,False
9,2,True,591116,591126,1,0,True,16,False,False,1171.4865329265594,1170.8107552528381,1171.5048608779907,False
9,3,True,591116,591126,1,0,True,16,False,False,1157.2588002681732,1156.6244382858276,1157.278440952301,False
9,4,True,591116,591126,1,0,True,16,False,False,1168.8135318756104,1168.1686143875122,1168.8324978351593,False
9,5,True,591116,591126,1,0,True,16,False,False,1162.1533195972443,1161.505915403366,1162.1732592582703,False
10,1,True,591116,591126,1,0,False,5,False,False,271.0476944446564,270.40987515449524,271.065940618515,False
10,2,True,591116,591126,1,0,False,5,False,False,272.4092581272125,272.7763714790344,273.43162751197815,False
10,3,True,591116,591126,1,0,False,5,False,False,264.44699001312256,264.8094024658203,265.4667384624481,False
10,4,True,591116,591126,1,0,False,5,False,False,266.2600288391113,265.6081042289734,266.2778277397156,False
10,5,True,591116,591126,1,0,False,5,False,False,273.21638798713684,272.59725165367126,273.2391972541809,False
11,1,True,591116,591126,1,0,True,5,True,False,1450.12735080719,1449.570284128189,1450.1406574249268,False
11,2,True,591116,591126,1,0,True,5,True,False,1488.3239042758942,1487.76855134964,1488.3340291976929,False
11,3,True,591116,591126,1,0,True,5,True,False,1485.9249742031097,1485.3761069774628,1485.9396500587463,False
