"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 20, 2018","9,119.8","9,017.7","9,580.0","9,009.1","13.85K","1.13%"
"Feb 19, 2018","9,017.7","8,415.0","9,079.9","8,364.0","9.94K","6.64%"
"Feb 18, 2018","8,456.6","8,970.0","9,150.0","8,238.1","0.01K","-5.70%"
"Feb 17, 2018","8,968.0","8,190.8","8,989.4","8,119.9","0.00K","9.49%"
"Feb 16, 2018","8,190.8","8,025.5","8,250.0","7,800.0","-","1.78%"
"Feb 15, 2018","8,047.8","7,625.8","8,197.6","7,536.9","0.00K","5.54%"
"Feb 14, 2018","7,625.0","6,915.4","7,649.6","6,910.0","-","10.35%"
"Feb 13, 2018","6,910.0","7,234.3","7,277.3","6,820.0","9.84K","-4.57%"
"Feb 12, 2018","7,240.6","6,596.8","7,300.0","6,587.1","11.33K","9.75%"
"Feb 11, 2018","6,597.2","6,991.9","6,991.9","6,420.0","9.80K","-5.65%"
"Feb 10, 2018","6,992.0","7,079.4","7,433.7","6,675.3","14.97K","-1.23%"
"Feb 09, 2018","7,079.4","6,750.8","7,162.0","6,360.0","14.95K","4.87%"
"Feb 08, 2018","6,750.8","6,168.5","7,090.6","6,155.1","15.98K","9.44%"
"Feb 07, 2018","6,168.6","6,197.8","7,035.0","5,783.4","27.17K","-0.44%"
"Feb 06, 2018","6,196.0","5,436.2","6,430.9","4,700.0","50.93K","14.11%"
"Feb 05, 2018","5,430.0","6,518.0","6,680.0","5,261.0","36.04K","-16.81%"
"Feb 04, 2018","6,527.0","7,437.0","7,543.2","6,227.9","19.35K","-12.23%"
"Feb 03, 2018","7,436.9","7,102.7","7,653.6","6,525.2","13.72K","4.91%"
"Feb 02, 2018","7,088.7","7,175.0","7,389.3","6,004.1","37.77K","-1.04%"
"Feb 01, 2018","7,163.1","8,137.4","8,180.0","6,760.0","23.55K","-11.97%"
"Jan 31, 2018","8,137.2","8,103.8","8,305.6","7,737.0","17.31K","0.76%"
"Jan 30, 2018","8,075.8","9,020.2","9,061.1","7,902.3","20.99K","-10.47%"
"Jan 29, 2018","9,020.2","9,377.2","9,438.5","8,921.9","8.70K","-3.81%"
